Generating SQLite file results/nsys_gradient_clip/20260903_143600/large_256_train_step.sqlite from results/nsys_gradient_clip/20260903_143600/large_256_train_step.nsys-rep
Processing [results/nsys_gradient_clip/20260903_143600/large_256_train_step.sqlite] with [/usr/local/cuda-12.2/nsight-systems-2023.2.3/host-linux-x64/reports/nvtx_kern_sum.py]... 

 ** NVTX Range Kernel Summary (nvtx_kern_sum):

        NVTX Range           Style     PID      TID    NVTX Inst  Kern Inst  Total Time (ns)  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                              Kernel Name                                             
 -------------------------  -------  -------  -------  ---------  ---------  ---------------  ---------  ---------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
 None                       None     383,872  384,309          0        217       32,897,058  151,599.3   78,367.0    77,056   564,795    105,142.0  sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize256x128x8_stage3_warpsize4x2x1_ffma_aligna4_alignc4_e…
 None                       None     383,872  384,309          0         72       23,412,801  325,177.8  325,261.0   323,229   326,717        639.5  void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_8x4_nt_align1>(T1::Params)                      
 None                       None     383,872  384,309          0        144       13,418,715   93,185.5   93,183.0    91,903    94,495        536.4  sm80_xmma_gemm_f32f32_f32f32_f32_nt_n_tilesize64x256x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_ex…
 None                       None     383,872  384,309          0         72       12,451,397  172,936.1  172,782.0    23,648   322,525    150,024.7  sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize64x64x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_exe…
 None                       None     383,872  384,309          0         36       12,129,137  336,920.5  336,925.0   336,380   337,565        275.2  void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nt_align1>(T1::Params)                      
 None                       None     383,872  384,309          0        469        9,655,924   20,588.3   15,616.0     5,184   109,376     20,328.2  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 None                       None     383,872  384,309          0        508        5,592,116   11,008.1    5,183.0     1,280    23,392      8,569.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa…
 None                       None     383,872  384,309          0        471        3,038,937    6,452.1    4,896.0     2,720    42,399      5,364.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::arr…
 None                       None     383,872  384,309          0        108        2,368,967   21,934.9   21,647.5    20,096    23,872      1,093.3  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 None                       None     383,872  384,309          0        435        2,322,371    5,338.8    5,696.0     3,744    35,840      1,779.2  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 None                       None     383,872  384,309          0         72        1,784,298   24,781.9   24,751.5    24,320    25,951        338.2  sm80_xmma_gemm_f32f32_f32f32_f32_nt_n_tilesize64x64x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_exe…
 None                       None     383,872  384,309          0        217        1,659,478    7,647.4    7,616.0     7,231     8,224        231.4  sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize256x128x8_stage3_warpsize4x2x1_ffma_aligna4_alignc4_e…
 None                       None     383,872  384,309          0        147        1,315,796    8,951.0    8,448.0     5,536    20,288      4,079.1  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
 None                       None     383,872  384,309          0         36        1,141,304   31,702.9   31,696.0    31,424    32,223        202.7  sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize64x128x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_ex…
 None                       None     383,872  384,309          0         75        1,053,204   14,042.7   14,656.0    11,360    28,768      3,473.2  void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIterat…
 None                       None     383,872  384,309          0         36          809,498   22,486.1   22,336.0    21,952    23,712        435.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::sigmoid_backward_kernel_cuda(at:…
 None                       None     383,872  384,309          0         73          758,360   10,388.5   10,304.0    10,016    11,424        279.6  void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapp…
 None                       None     383,872  384,309          0         36          650,076   18,057.7   17,952.0    17,792    18,784        266.8  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 None                       None     383,872  384,309          0         36          580,984   16,138.4   16,064.0    15,871    16,832        210.0  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 None                       None     383,872  384,309          0          1          551,739  551,739.0  551,739.0   551,739   551,739          0.0  sm80_xmma_gemm_f32f32_f32f32_f32_nt_n_tilesize64x128x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_ex…
 None                       None     383,872  384,309          0         36          388,123   10,781.2   10,688.0    10,559    11,488        226.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, floa…
 None                       None     383,872  384,309          0         74          378,907    5,120.4    5,152.0     2,368     5,408        332.3  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 None                       None     383,872  384,309          0         36          352,092    9,780.3    9,792.0     9,632     9,888         68.6  void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)4>,…
 None                       None     383,872  384,309          0        146          344,929    2,362.5    2,320.5     1,280     3,616        930.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, floa…
